Store,Area,Density,Competitiveness,Total number of likes,Number of metro stations,Average salary,Profit per company,Check-ins
"вул. Сагайдачного, 41",Подільський,2,0.04,2502,1,31211,46640.99141,21564
"Спортивна пл., 1а",Печерський,7,0.25,9552,2,30217,46578.07882,18759
"вул. Оленівська, 3",Подільський,4,0.1333333333,3336,1,31211,46640.99141,5548
"вул. Академіка Філатова, 7",Печерський,6,0.2142857143,387,1,30217,46578.07882,9830
"вул. Казимира Малевича, 107",Голосіївський,5,0.1666666667,4261,2,26646,36425.0118,10380
"вул. Басейна, 6",Шевченківський,8,0.16,9882,2,29950,57744.65229,19097
"Харківське шосе, 168",Дарницький,6,0.1276595745,1546,0,17778,16358.3783,10611
"Чоколівський бул., 6",Солом’янський,7,0.1186440678,2811,0,24406,19156.02708,4587
"вул. Олександра Мишуги, 4",Дарницький,12,0.2448979592,3763,1,17778,16358.3783,8699
"вул. Миколи Лаврухіна, 4",Деснянський,6,0.1875,1637,0,17357,19078.68918,9426
"просп. Оболонський, 36Б ",Оболонський,4,0.1333333333,2675,1,21708,27037.0473,1925
"Карельський пров., 3",Деснянський,6,0.1764705882,1643,1,17357,19078.68918,4368
"вул. Теодора Драйзера, 8",Деснянський,6,0.1621621622,451,0,17357,19078.68918,5295
"вул. Північна, 6а",Оболонський,5,0.1136363636,135,1,21708,27037.0473,2579
"просп. Володимира Маяковського, 75/2",Деснянський,5,0.1724137931,1597,0,17357,19078.68918,2791
"Лісовий просп., 39",Деснянський,0,0,363,1,17357,19078.68918,3537
"просп. Павла Тичини, 1в",Дніпровський,2,0.1111111111,949,0,18350,27471.30476,3247
"вул. Полярна, 20д",Оболонський,5,0.1923076923,2157,1,21708,27037.0473,8147
"вул. Семена Скляренка, 17",Оболонський,2,0.1176470588,1016,0,21708,27037.0473,759
"вул. Сулеймана Стальського, 22/10",Дніпровський,3,0.1578947368,984,1,18350,27471.30476,1857
"просп. Перемоги, 87",Святошинський,5,0.09615384615,2309,1,18271,15206.15072,4802
"вул. Олеся Гончара, 96",Шевченківський,15,0.306122449,8017,2,29950,57744.65229,18932
"вул. Січових Стрільців, 37/41",Шевченківський,9,0.1875,8020,0,29950,57744.65229,9209
"вул. Соборна, 64/1",Святошинський,0,0,77,0,18271,15206.15072,1429
"вул. Михайла Омеляновича-Павленка, 4",Печерський,2,0.04,6715,2,30217,46578.07882,10930
"вул. Євгена Коновальця, 26а",Печерський,5,0.1020408163,9914,1,30217,46578.07882,2547
"просп. Перемоги, 26",Солом’янський,1,0.05555555556,5717,1,24406,19156.02708,1019
"вул. Борщагівська, 154а",Солом’янський,6,0.1153846154,2185,0,24406,19156.02708,24524
"вул. Білоруська, 2",Шевченківський,7,0.14,3400,1,29950,57744.65229,13087
"просп. Героїв Сталінграда, 27б",Оболонський,4,0.08163265306,3510,3,21708,27037.0473,1916
